Deposited,Collected
92079,91507
72875,72487
127357,126914
111944,111756
133905,133519
277116,275134
0,0
658332,656137
273137,271397
254536,253644
63353,63133
201285,200871
18910,18832
332944,331878
321070,320398
223697,222363
105907,104716
231110,230572
66400,66215
366330,365674
214796,214045
298614,295609
118713,118377
122055,121721
118524,114833
107409,107148
179540,178778
56422,56190
57690,57578
219410,218909
51342,51095
340442,339979
156957,156464
90037,89728
177472,176846
52580,52178
63016,62833
143071,142562
199220,195358
180198,179518
171360,170748
51776,51512
167334,165784
170650,170292
396604,395614
21347,21062
490505,488753
101900,101635
164004,163369
195110,194127
0,0
192423,191505
0,0
127141,125535
19257,19210
101034,100647
70137,67476
159606,158463
102079,101263
132445,132222
82572,82214
116710,116194
161297,160778
117713,117286
105834,105463
0,0
183218,182182
274702,274405
164100,162075
121372,121202
219689,218985
216489,214962
356350,355534
126772,126364
382355,379869
192132,191819
305781,304931
181789,180467
369510,367934
167949,167191
94698,94292
49347,49263
88261,87811
176414,175622
0,0
262789,261810
72472,72315
269773,268577
130012,129484
49879,49671
256908,256347
389897,389113
103281,102568
84241,84054
168144,167603
154896,154299
304115,298505
181595,180050
155158,154614
130005,129532
73890,73173
260868,260286
134245,133981
309699,308470
9636,8561
121200,120412
170723,170425
318280,317659
84632,84402
293299,292004
16306,16250
223894,222964
131514,131196
398479,397022
286231,284335
65367,65047
86249,86115
336074,335370
344304,342229
283412,282490
245239,243941
170423,170118
139395,138842
128419,127941
160588,160230
56491,56203
199504,197326
280350,279170
326660,325974
71851,71525
201326,200990
214494,211192
66239,66020
201202,199421
263763,263209
92888,92743
176732,176275
111584,111320
159614,158841
675584,674450
312064,311412
270271,269332
69075,68422
71372,71124
112632,112333
415425,414720
72755,72502
162224,161255
77084,76775
151597,150601
122762,120168
112123,110984
17254,17119
201714,200261
260216,258465
335360,334947
235319,234004
179097,178013
210232,209370
184697,179262
145720,145066
41270,41112
195804,195552
82053,81864
29236,29150
110659,110408
203838,203145
289687,288965
22399,22363
175728,175093
62132,62017
120033,119700
51932,51752
160762,160006
275671,274904
74010,73809
96647,96351
212487,211335
34333,34277
410587,409609
153789,152982
127701,126799
26461,26354
101350,101141
151016,150807
56679,56026
577308,574361
329452,328457
168670,168393
299535,298689
265844,264894
147098,146473
113131,111643
245064,244585
58151,57863
77864,77645
271654,270830
32784,32662
147619,147057
113944,113244
271983,270653
48085,47912
315013,312779
87382,87027
155614,154670
25178,25154
60482,60361
47826,37379
145845,143932
75639,75007
205250,204502
280438,279922
172684,172176
545835,544014
99644,99144
25776,25720
124160,123771
307805,306628
209254,208563
118603,116132
0,0
137497,135988
176735,175922
70357,69828
308725,307993
115496,115223
185135,184246
126170,125770
166535,166110
383159,381766
91143,87944
135369,134783
